Date,DJS EU
2019-10-08T00:00:00Z,132.08
2019-10-07T00:00:00Z,133.39
2019-10-04T00:00:00Z,132.54
2019-10-03T00:00:00Z,131.54
2019-10-02T00:00:00Z,131.54
2019-10-01T00:00:00Z,135.16
2019-09-30T00:00:00Z,136.97
2019-09-27T00:00:00Z,136.38
2019-09-26T00:00:00Z,135.83
2019-09-25T00:00:00Z,134.83
2019-09-24T00:00:00Z,135.48
2019-09-23T00:00:00Z,135.24
2019-09-20T00:00:00Z,135.97
2019-09-19T00:00:00Z,135.62
2019-09-18T00:00:00Z,134.7
2019-09-17T00:00:00Z,134.61
2019-09-16T00:00:00Z,134.34
2019-09-13T00:00:00Z,135.16
2019-09-12T00:00:00Z,135.35
2019-09-11T00:00:00Z,135.01
2019-09-10T00:00:00Z,134.14
2019-09-09T00:00:00Z,134.17
2019-09-06T00:00:00Z,134.94
2019-09-05T00:00:00Z,134.37
2019-09-04T00:00:00Z,133.81
2019-09-03T00:00:00Z,132.92
2019-09-02T00:00:00Z,133.19
2019-08-30T00:00:00Z,132.6
2019-08-29T00:00:00Z,131.67
2019-08-28T00:00:00Z,130.51
2019-08-27T00:00:00Z,130.63
2019-08-26T00:00:00Z,129.89
2019-08-23T00:00:00Z,129.78
2019-08-22T00:00:00Z,130.73
2019-08-21T00:00:00Z,131.26
2019-08-20T00:00:00Z,129.96
2019-08-19T00:00:00Z,130.76
2019-08-16T00:00:00Z,129.54
2019-08-15T00:00:00Z,128
2019-08-14T00:00:00Z,128.15
2019-08-13T00:00:00Z,129.8
2019-08-12T00:00:00Z,129.26
2019-08-09T00:00:00Z,129.46
2019-08-08T00:00:00Z,130.25
2019-08-07T00:00:00Z,128.26
2019-08-06T00:00:00Z,127.98
2019-08-05T00:00:00Z,128.87
2019-08-02T00:00:00Z,131.54
2019-08-01T00:00:00Z,134.35
2019-07-31T00:00:00Z,133.45
2019-07-30T00:00:00Z,133.2
2019-07-29T00:00:00Z,135.17
2019-07-26T00:00:00Z,134.72
2019-07-25T00:00:00Z,134.16
2019-07-24T00:00:00Z,134.88
2019-07-23T00:00:00Z,135.03
2019-07-22T00:00:00Z,133.8
2019-07-19T00:00:00Z,133.7
2019-07-18T00:00:00Z,133.91
2019-07-17T00:00:00Z,134.1
2019-07-16T00:00:00Z,134.36
2019-07-15T00:00:00Z,133.81
2019-07-12T00:00:00Z,133.42
2019-07-11T00:00:00Z,133.63
2019-07-10T00:00:00Z,133.85
2019-07-09T00:00:00Z,134.13
2019-07-08T00:00:00Z,134.63
2019-07-05T00:00:00Z,134.65
2019-07-04T00:00:00Z,135.67
2019-07-03T00:00:00Z,135.53
2019-07-02T00:00:00Z,134.37
2019-07-01T00:00:00Z,133.64
2019-06-28T00:00:00Z,132.68
2019-06-27T00:00:00Z,131.83
2019-06-26T00:00:00Z,131.9
2019-06-25T00:00:00Z,132.38
2019-06-24T00:00:00Z,132.59
2019-06-21T00:00:00Z,132.72
2019-06-20T00:00:00Z,133.31
2019-06-19T00:00:00Z,132.79
2019-06-18T00:00:00Z,132.88
2019-06-17T00:00:00Z,130.81
2019-06-14T00:00:00Z,130.93
2019-06-13T00:00:00Z,131.23
2019-06-12T00:00:00Z,130.95
2019-06-11T00:00:00Z,131.29
2019-06-10T00:00:00Z,130.64
2019-06-07T00:00:00Z,130.4
2019-06-06T00:00:00Z,129.37
2019-06-05T00:00:00Z,129.28
2019-06-04T00:00:00Z,128.77
2019-06-03T00:00:00Z,128.28
2019-05-31T00:00:00Z,127.61
2019-05-30T00:00:00Z,128.61
2019-05-29T00:00:00Z,128.03
2019-05-28T00:00:00Z,129.72
2019-05-27T00:00:00Z,130.28
2019-05-24T00:00:00Z,129.98
2019-05-23T00:00:00Z,129.14
2019-05-22T00:00:00Z,130.55
2019-05-21T00:00:00Z,130.47
2019-05-20T00:00:00Z,129.95
2019-05-17T00:00:00Z,131.16
2019-05-16T00:00:00Z,131.5
2019-05-15T00:00:00Z,129.54
2019-05-14T00:00:00Z,128.78
2019-05-13T00:00:00Z,127.6
2019-05-10T00:00:00Z,128.75
2019-05-09T00:00:00Z,128.45
2019-05-08T00:00:00Z,130.33
2019-05-07T00:00:00Z,129.95
2019-05-06T00:00:00Z,131.56
2019-05-03T00:00:00Z,132.58
2019-05-02T00:00:00Z,131.99
2019-05-01T00:00:00Z,132.95
2019-04-30T00:00:00Z,133.06
2019-04-29T00:00:00Z,132.83
2019-04-26T00:00:00Z,132.78
2019-04-25T00:00:00Z,132.6
2019-04-24T00:00:00Z,132.46
2019-04-23T00:00:00Z,132.18
2019-04-22T00:00:00Z,131.59
2019-04-18T00:00:00Z,131.79
2019-04-17T00:00:00Z,131.48
2019-04-16T00:00:00Z,131.53
2019-04-15T00:00:00Z,131.23
2019-04-12T00:00:00Z,131.01
2019-04-11T00:00:00Z,131.19
2019-04-10T00:00:00Z,131.22
2019-04-09T00:00:00Z,131.05
2019-04-08T00:00:00Z,131.42
2019-04-05T00:00:00Z,131.66
2019-04-04T00:00:00Z,131.79
2019-04-03T00:00:00Z,131.96
2019-04-02T00:00:00Z,130.97
2019-04-01T00:00:00Z,130.59
2019-03-29T00:00:00Z,129.47
2019-03-28T00:00:00Z,128.89
2019-03-27T00:00:00Z,128.95
2019-03-26T00:00:00Z,128.74
2019-03-25T00:00:00Z,127.68
2019-03-22T00:00:00Z,128.17
2019-03-21T00:00:00Z,129.62
