Date,DJS US
2009-09-30T00:00:00Z,87.33
2009-10-01T00:00:00Z,85.27
2009-10-02T00:00:00Z,85.06
2009-10-03T00:00:00Z,85.06
2009-10-04T00:00:00Z,85.06
2009-10-05T00:00:00Z,86.14
2009-10-06T00:00:00Z,87.32
2009-10-07T00:00:00Z,87.65
2009-10-08T00:00:00Z,88.26
2009-10-09T00:00:00Z,88.78
2009-10-10T00:00:00Z,88.78
2009-10-11T00:00:00Z,88.78
2009-10-12T00:00:00Z,89.17
2009-10-13T00:00:00Z,88.84
2009-10-14T00:00:00Z,90.22
2009-10-15T00:00:00Z,90.62
2009-10-16T00:00:00Z,89.79
2009-10-17T00:00:00Z,89.79
2009-10-18T00:00:00Z,89.79
2009-10-19T00:00:00Z,90.45
2009-10-20T00:00:00Z,89.85
2009-10-21T00:00:00Z,89.12
2009-10-22T00:00:00Z,90.07
2009-10-23T00:00:00Z,89.19
2009-10-24T00:00:00Z,89.19
2009-10-25T00:00:00Z,89.19
2009-10-26T00:00:00Z,88.24
2009-10-27T00:00:00Z,88.06
2009-10-28T00:00:00Z,86.55
2009-10-29T00:00:00Z,88.48
2009-10-30T00:00:00Z,86.25
2009-10-31T00:00:00Z,86.25
2009-11-01T00:00:00Z,86.25
2009-11-02T00:00:00Z,86.9
2009-11-03T00:00:00Z,86.77
2009-11-04T00:00:00Z,87.09
2009-11-05T00:00:00Z,88.78
2009-11-06T00:00:00Z,89.12
2009-11-07T00:00:00Z,89.12
2009-11-08T00:00:00Z,89.12
2009-11-09T00:00:00Z,90.87
2009-11-10T00:00:00Z,90.94
2009-11-11T00:00:00Z,91.24
2009-11-12T00:00:00Z,90.34
2009-11-13T00:00:00Z,90.86
2009-11-14T00:00:00Z,90.86
2009-11-15T00:00:00Z,90.86
2009-11-16T00:00:00Z,92.09
2009-11-17T00:00:00Z,92.25
2009-11-18T00:00:00Z,92.08
2009-11-19T00:00:00Z,90.93
2009-11-20T00:00:00Z,90.68
2009-11-21T00:00:00Z,90.68
2009-11-22T00:00:00Z,90.68
2009-11-23T00:00:00Z,91.89
2009-11-24T00:00:00Z,91.88
2009-11-25T00:00:00Z,92.14
2009-11-26T00:00:00Z,92.14
2009-11-27T00:00:00Z,90.73
2009-11-28T00:00:00Z,90.73
2009-11-29T00:00:00Z,90.73
2009-11-30T00:00:00Z,91.03
2009-12-01T00:00:00Z,92.14
2009-12-02T00:00:00Z,92.02
2009-12-03T00:00:00Z,91.36
2009-12-04T00:00:00Z,91.76
2009-12-05T00:00:00Z,91.76
2009-12-06T00:00:00Z,91.76
2009-12-07T00:00:00Z,91.67
2009-12-08T00:00:00Z,90.76
2009-12-09T00:00:00Z,91.1
2009-12-10T00:00:00Z,91.77
2009-12-11T00:00:00Z,92.01
2009-12-12T00:00:00Z,92.01
2009-12-13T00:00:00Z,92.01
2009-12-14T00:00:00Z,92.51
2009-12-15T00:00:00Z,92.06
2009-12-16T00:00:00Z,92.11
2009-12-17T00:00:00Z,90.88
2009-12-18T00:00:00Z,91.35
2009-12-19T00:00:00Z,91.35
2009-12-20T00:00:00Z,91.35
2009-12-21T00:00:00Z,92.14
2009-12-22T00:00:00Z,92.37
2009-12-23T00:00:00Z,92.48
2009-12-24T00:00:00Z,92.83
2009-12-25T00:00:00Z,92.83
2009-12-26T00:00:00Z,92.83
2009-12-27T00:00:00Z,92.83
2009-12-28T00:00:00Z,93.03
2009-12-29T00:00:00Z,93.04
2009-12-30T00:00:00Z,93.03
2009-12-31T00:00:00Z,92.07
2010-01-01T00:00:00Z,92.07
2010-01-02T00:00:00Z,92.07
2010-01-03T00:00:00Z,92.07
2010-01-04T00:00:00Z,93.48
2010-01-05T00:00:00Z,93.67
2010-01-06T00:00:00Z,93.72
2010-01-07T00:00:00Z,94.06
2010-01-08T00:00:00Z,94.31
