Date,Dow Jones Commodity Index Grains
30-10-2009,176.8
02-11-2009,182.77
03-11-2009,184.93
04-11-2009,183.48
05-11-2009,179.35
06-11-2009,176
09-11-2009,182.72
10-11-2009,184.61
11-11-2009,186.4
12-11-2009,188.19
13-11-2009,188.49
16-11-2009,194
17-11-2009,196.69
18-11-2009,195.25
19-11-2009,195.54
20-11-2009,195.33
23-11-2009,194.26
24-11-2009,191.03
25-11-2009,195.5
27-11-2009,196.01
30-11-2009,198.67
01-12-2009,197.79
02-12-2009,193.81
03-12-2009,193.76
04-12-2009,190.58
07-12-2009,190.08
08-12-2009,189.08
09-12-2009,187.34
10-12-2009,188.83
11-12-2009,191.34
14-12-2009,194.02
15-12-2009,193.37
16-12-2009,194.3
17-12-2009,187.74
18-12-2009,187.71
21-12-2009,186.4
22-12-2009,185.58
23-12-2009,187.83
24-12-2009,188
28-12-2009,193.7
29-12-2009,193.91
30-12-2009,193.48
31-12-2009,193.67
04-01-2010,196.31
05-01-2010,196.25
06-01-2010,197.61
07-01-2010,193.38
08-01-2010,194.65
11-01-2010,193.89
12-01-2010,183.86
13-01-2010,184.04
14-01-2010,182.16
15-01-2010,178.61
19-01-2010,176.68
20-01-2010,175.12
21-01-2010,176.17
22-01-2010,174.79
25-01-2010,174.24
26-01-2010,173.77
27-01-2010,170.81
28-01-2010,171.82
29-01-2010,168.6
01-02-2010,168.64
02-02-2010,171.83
03-02-2010,167.2
04-02-2010,168.35
05-02-2010,168.47
08-02-2010,172.08
09-02-2010,172.6
10-02-2010,175.94
11-02-2010,177.1
12-02-2010,176.49
16-02-2010,180.49
17-02-2010,177.47
18-02-2010,176.05
19-02-2010,176.53
22-02-2010,180.25
23-02-2010,178.11
24-02-2010,180.1
25-02-2010,177.79
26-02-2010,180.72
01-03-2010,178.76
02-03-2010,178.78
03-03-2010,180.36
04-03-2010,176.96
05-03-2010,175.3
08-03-2010,175.8
09-03-2010,174.48
10-03-2010,174.32
11-03-2010,171.67
12-03-2010,171.54
15-03-2010,171.34
16-03-2010,173.73
17-03-2010,176.68
18-03-2010,176.52
19-03-2010,176.13
22-03-2010,176.36
23-03-2010,174.43
24-03-2010,174.02
25-03-2010,170.31
26-03-2010,171.21
29-03-2010,172.66
30-03-2010,173.38
31-03-2010,167.53
01-04-2010,167.92
05-04-2010,167.53
06-04-2010,169.12
07-04-2010,172.15
08-04-2010,170.64
09-04-2010,171.25
12-04-2010,173.01
13-04-2010,175.51
14-04-2010,176.96
15-04-2010,179.55
16-04-2010,180.5
19-04-2010,175.44
20-04-2010,178.75
21-04-2010,180.39
22-04-2010,182.38
23-04-2010,179.94
26-04-2010,178.32
27-04-2010,176.26
28-04-2010,177.71
29-04-2010,179.24
30-04-2010,181.02
03-05-2010,179.28
04-05-2010,179.63
05-05-2010,179.58
06-05-2010,176.98
07-05-2010,177.76
10-05-2010,176.34
11-05-2010,177.82
12-05-2010,177.82
13-05-2010,176.01
14-05-2010,172.99
17-05-2010,170.68
