Date,Dow Jones Commodity Index Industrial Metals
30-10-2009,122.04
02-11-2009,122.91
03-11-2009,121.64
04-11-2009,123.46
05-11-2009,122.93
06-11-2009,121.69
09-11-2009,123.07
10-11-2009,122.9
11-11-2009,123.38
12-11-2009,122.15
13-11-2009,122.39
16-11-2009,128.15
17-11-2009,128.2
18-11-2009,129.14
19-11-2009,127.22
20-11-2009,128.34
23-11-2009,129.01
24-11-2009,127.63
25-11-2009,129.77
27-11-2009,126.88
30-11-2009,129.24
01-12-2009,131.83
02-12-2009,133.81
03-12-2009,132.48
04-12-2009,132.11
07-12-2009,131.43
08-12-2009,131.64
09-12-2009,132.62
10-12-2009,130.92
11-12-2009,133.15
14-12-2009,133.83
15-12-2009,133.24
16-12-2009,136.32
17-12-2009,133.04
18-12-2009,133.31
21-12-2009,135.34
22-12-2009,134.16
23-12-2009,136.53
24-12-2009,136.97
28-12-2009,136.97
29-12-2009,139.79
30-12-2009,139.39
31-12-2009,139.37
04-01-2010,141.62
05-01-2010,142.1
06-01-2010,146.61
07-01-2010,142.87
08-01-2010,140.8
11-01-2010,143.02
12-01-2010,140.24
13-01-2010,141.38
14-01-2010,142.48
15-01-2010,141.23
19-01-2010,142.5
20-01-2010,139.64
21-01-2010,137.97
22-01-2010,138.08
25-01-2010,138.58
26-01-2010,137.4
27-01-2010,134.65
28-01-2010,129.82
29-01-2010,127.65
01-02-2010,128.06
02-02-2010,129.36
03-02-2010,126.09
04-02-2010,122.67
05-02-2010,119.54
08-02-2010,122.39
09-02-2010,125.31
10-02-2010,124.68
11-02-2010,129.68
12-02-2010,128.61
16-02-2010,135.28
17-02-2010,134.6
18-02-2010,135.89
19-02-2010,138.39
22-02-2010,137.12
23-02-2010,134.12
24-02-2010,134.55
25-02-2010,131.46
26-02-2010,135.14
01-03-2010,137.37
02-03-2010,139.41
03-03-2010,141.86
04-03-2010,139.64
05-03-2010,141.91
08-03-2010,141.43
09-03-2010,142.38
10-03-2010,140.94
11-03-2010,140.85
12-03-2010,141.47
15-03-2010,138.9
16-03-2010,140.82
17-03-2010,143.2
18-03-2010,142.6
19-03-2010,141.27
22-03-2010,141.01
23-03-2010,140.81
24-03-2010,139.01
25-03-2010,140.15
26-03-2010,141.34
29-03-2010,145.66
30-03-2010,147.03
31-03-2010,147.51
01-04-2010,149.22
05-04-2010,149.22
06-04-2010,150.62
07-04-2010,149.58
08-04-2010,149.16
09-04-2010,151
12-04-2010,151.52
13-04-2010,151.57
14-04-2010,153.52
15-04-2010,154.37
16-04-2010,150.98
19-04-2010,148.74
20-04-2010,150.79
21-04-2010,149.41
22-04-2010,148.13
23-04-2010,148.8
26-04-2010,149.3
27-04-2010,141.8
28-04-2010,141.39
29-04-2010,140.66
30-04-2010,143.01
03-05-2010,143.01
04-05-2010,135.44
05-05-2010,132.24
06-05-2010,131.87
07-05-2010,131.5
10-05-2010,135.27
11-05-2010,133.09
12-05-2010,133.46
13-05-2010,136.3
14-05-2010,131.29
17-05-2010,123.29
18-05-2010,127.55
19-05-2010,123.75
20-05-2010,124.48
21-05-2010,128.17
24-05-2010,129.97
25-05-2010,125.85
26-05-2010,126.38
27-05-2010,130.03
28-05-2010,128.95
01-06-2010,124.98
02-06-2010,123.26
03-06-2010,120.46
04-06-2010,115.67
07-06-2010,113.81
08-06-2010,116.48
09-06-2010,118.89
10-06-2010,119.62
11-06-2010,120.62
14-06-2010,123.99
15-06-2010,124.86
16-06-2010,124.29
17-06-2010,121.18
18-06-2010,120.26
21-06-2010,122.62
22-06-2010,122.64
23-06-2010,121.45
24-06-2010,123.9
25-06-2010,125.42
28-06-2010,127.52
29-06-2010,120.55
30-06-2010,122.11
01-07-2010,118.66
02-07-2010,119.77
06-07-2010,123.19
07-07-2010,123.58
08-07-2010,123.66
09-07-2010,125.65
12-07-2010,123.25
13-07-2010,124.57
14-07-2010,125.03
15-07-2010,124.42
16-07-2010,121.61
19-07-2010,121.65
20-07-2010,123.52
21-07-2010,126.7
22-07-2010,129.49
23-07-2010,129.18
26-07-2010,131.34
27-07-2010,130.02
28-07-2010,131.53
29-07-2010,133
30-07-2010,135.82
02-08-2010,139.84
03-08-2010,138.44
04-08-2010,140.04
05-08-2010,138.2
06-08-2010,138.14
09-08-2010,139.03
10-08-2010,136.84
11-08-2010,134.74
12-08-2010,135.79
13-08-2010,133.62
16-08-2010,134.95
17-08-2010,137.17
18-08-2010,136.57
19-08-2010,134.64
20-08-2010,133.3
23-08-2010,132.96
24-08-2010,130.94
25-08-2010,129.53
26-08-2010,132.64
27-08-2010,135.44
30-08-2010,135.44
31-08-2010,134.77
01-09-2010,137.92
02-09-2010,139.57
03-09-2010,139.53
07-09-2010,140.31
08-09-2010,141.35
09-09-2010,138.67
10-09-2010,137.54
13-09-2010,139.96
14-09-2010,141.29
15-09-2010,140.55
16-09-2010,141.49
17-09-2010,141.97
20-09-2010,142.3
21-09-2010,140.86
22-09-2010,144.07
23-09-2010,146.22
24-09-2010,147.37
27-09-2010,146.25
28-09-2010,147.08
29-09-2010,148.86
30-09-2010,148.41
01-10-2010,149.77
04-10-2010,149.57
05-10-2010,151.79
06-10-2010,152.36
07-10-2010,149.05
08-10-2010,153.47
11-10-2010,153.24
12-10-2010,154.83
13-10-2010,155.16
14-10-2010,155.3
15-10-2010,154.47
18-10-2010,155.43
19-10-2010,152.23
20-10-2010,153.74
21-10-2010,153.31
22-10-2010,154.09
25-10-2010,156.42
26-10-2010,156.96
27-10-2010,152.72
28-10-2010,153.5
29-10-2010,151.58
01-11-2010,153.24
02-11-2010,155.84
03-11-2010,154.2
04-11-2010,158.8
05-11-2010,159.27
08-11-2010,158.42
09-11-2010,162.15
10-11-2010,160.32
11-11-2010,161.21
