Date,Dow Jones Precious Metals Index
31-10-2009,314.12
01-11-2009,314.12
02-11-2009,318.04
03-11-2009,339.69
04-11-2009,341.65
05-11-2009,344.14
06-11-2009,351.45
07-11-2009,351.45
08-11-2009,351.45
09-11-2009,365.4
10-11-2009,365.96
11-11-2009,367.93
12-11-2009,358.87
13-11-2009,366.34
14-11-2009,366.34
15-11-2009,366.34
16-11-2009,376.61
17-11-2009,378.79
18-11-2009,373.23
19-11-2009,375.02
20-11-2009,372.44
21-11-2009,372.44
22-11-2009,372.44
23-11-2009,377.17
24-11-2009,374.47
25-11-2009,384.16
26-11-2009,384.16
27-11-2009,369.63
28-11-2009,369.63
29-11-2009,369.63
30-11-2009,368.9
01-12-2009,387.16
02-12-2009,395.58
03-12-2009,386.85
04-12-2009,364.26
05-12-2009,364.26
06-12-2009,364.26
07-12-2009,359.23
08-12-2009,346.14
09-12-2009,354.74
10-12-2009,353.26
11-12-2009,346.74
12-12-2009,346.74
13-12-2009,346.74
14-12-2009,351.29
15-12-2009,344.73
16-12-2009,349.51
17-12-2009,331.74
18-12-2009,337.47
19-12-2009,337.47
20-12-2009,337.47
21-12-2009,334.33
22-12-2009,334.83
23-12-2009,345.2
24-12-2009,346.77
25-12-2009,346.77
26-12-2009,346.77
27-12-2009,346.77
28-12-2009,345.73
29-12-2009,342.22
30-12-2009,340.03
31-12-2009,339.97
01-01-2010,339.97
02-01-2010,339.97
03-01-2010,339.97
04-01-2010,351.77
05-01-2010,354.88
06-01-2010,364.24
07-01-2010,360.12
08-01-2010,365.23
09-01-2010,365.23
10-01-2010,365.23
11-01-2010,366.83
12-01-2010,353.21
13-01-2010,357.46
14-01-2010,354.19
15-01-2010,347.76
16-01-2010,347.76
17-01-2010,347.76
18-01-2010,347.76
19-01-2010,350.7
20-01-2010,337.29
21-01-2010,321.34
22-01-2010,319.72
23-01-2010,319.72
24-01-2010,319.72
25-01-2010,317.04
26-01-2010,314.57
27-01-2010,311.41
28-01-2010,308.72
29-01-2010,297.2
30-01-2010,297.2
31-01-2010,297.2
01-02-2010,313.8
02-02-2010,314.83
03-02-2010,310.98
04-02-2010,294.32
05-02-2010,310.47
06-02-2010,310.47
07-02-2010,310.47
08-02-2010,300.63
09-02-2010,312.01
10-02-2010,310.2
11-02-2010,323.09
12-02-2010,320.18
13-02-2010,320.18
14-02-2010,320.18
15-02-2010,320.18
16-02-2010,328.92
17-02-2010,327.5
18-02-2010,332.99
19-02-2010,331.13
20-02-2010,331.13
21-02-2010,331.13
22-02-2010,325.66
23-02-2010,314.96
24-02-2010,312.54
25-02-2010,321.35
26-02-2010,324.1
27-02-2010,324.1
28-02-2010,324.1
01-03-2010,329.75
02-03-2010,338.02
03-03-2010,343.9
04-03-2010,340.02
05-03-2010,345.9
06-03-2010,345.9
07-03-2010,345.9
08-03-2010,342.74
09-03-2010,341.41
10-03-2010,337.26
11-03-2010,340.34
12-03-2010,338.13
13-03-2010,338.13
14-03-2010,338.13
15-03-2010,337.37
16-03-2010,346.55
17-03-2010,345.72
18-03-2010,343.63
19-03-2010,338.72
20-03-2010,338.72
21-03-2010,338.72
22-03-2010,340.37
23-03-2010,341.12
24-03-2010,329.23
25-03-2010,323.32
26-03-2010,329.82
27-03-2010,329.82
28-03-2010,329.82
29-03-2010,336.34
30-03-2010,335.06
31-03-2010,338.38
01-04-2010,353.38
02-04-2010,353.38
03-04-2010,353.38
04-04-2010,353.38
05-04-2010,356.88
06-04-2010,354.83
07-04-2010,361.58
08-04-2010,361.83
09-04-2010,364.2
10-04-2010,364.2
11-04-2010,364.2
12-04-2010,359.51
13-04-2010,357.68
14-04-2010,360.55
15-04-2010,356.89
16-04-2010,348.04
17-04-2010,348.04
18-04-2010,348.04
19-04-2010,347.8
20-04-2010,346.89
21-04-2010,347.77
22-04-2010,352.1
23-04-2010,355.31
24-04-2010,355.31
25-04-2010,355.31
26-04-2010,356.14
27-04-2010,353.31
28-04-2010,362.18
29-04-2010,366.3
30-04-2010,366.66
01-05-2010,366.66
02-05-2010,366.66
03-05-2010,360.5
04-05-2010,356.68
05-05-2010,354.87
06-05-2010,358.61
07-05-2010,352.29
08-05-2010,352.29
09-05-2010,352.29
10-05-2010,363.17
11-05-2010,376.05
12-05-2010,379.41
13-05-2010,372.99
14-05-2010,374.37
15-05-2010,374.37
