Date,GSLI
2019-10-09T00:00:00Z,153.68
2019-10-08T00:00:00Z,153.68
2019-10-07T00:00:00Z,155.6
2019-10-04T00:00:00Z,155.3
2019-10-03T00:00:00Z,153.66
2019-10-02T00:00:00Z,153.17
2019-10-01T00:00:00Z,156.5
2019-09-30T00:00:00Z,158.46
2019-09-27T00:00:00Z,158.54
2019-09-26T00:00:00Z,158.73
2019-09-25T00:00:00Z,158.78
2019-09-24T00:00:00Z,158.58
2019-09-23T00:00:00Z,159.61
2019-09-20T00:00:00Z,159.71
2019-09-19T00:00:00Z,160.06
2019-09-18T00:00:00Z,159.69
2019-09-17T00:00:00Z,159.43
2019-09-16T00:00:00Z,159
2019-09-13T00:00:00Z,160.06
2019-09-12T00:00:00Z,160.01
2019-09-11T00:00:00Z,159.2
2019-09-10T00:00:00Z,157.9
2019-09-09T00:00:00Z,158.12
2019-09-06T00:00:00Z,157.61
2019-09-05T00:00:00Z,157.1
2019-09-04T00:00:00Z,155.16
2019-09-03T00:00:00Z,153.07
2019-08-30T00:00:00Z,153.79
2019-08-29T00:00:00Z,153.05
2019-08-28T00:00:00Z,151.74
2019-08-27T00:00:00Z,151.25
2019-08-26T00:00:00Z,151.19
2019-08-23T00:00:00Z,150.92
2019-08-22T00:00:00Z,153.19
2019-08-21T00:00:00Z,153.63
2019-08-20T00:00:00Z,153.04
2019-08-19T00:00:00Z,153.82
2019-08-16T00:00:00Z,152.46
2019-08-15T00:00:00Z,150.09
2019-08-14T00:00:00Z,152.19
2019-08-13T00:00:00Z,155.38
2019-08-12T00:00:00Z,154.37
2019-08-09T00:00:00Z,155.57
2019-08-08T00:00:00Z,156.44
2019-08-07T00:00:00Z,154.27
2019-08-06T00:00:00Z,154.1
2019-08-05T00:00:00Z,154.01
2019-08-02T00:00:00Z,157.64
2019-08-01T00:00:00Z,159.63
2019-07-31T00:00:00Z,160.38
2019-07-30T00:00:00Z,161.97
2019-07-29T00:00:00Z,162.93
2019-07-26T00:00:00Z,163.09
2019-07-25T00:00:00Z,161.84
2019-07-24T00:00:00Z,162.42
2019-07-23T00:00:00Z,161.6
2019-07-22T00:00:00Z,160.99
2019-07-19T00:00:00Z,160.65
2019-07-18T00:00:00Z,160.37
2019-07-17T00:00:00Z,160.02
2019-07-16T00:00:00Z,160.91
2019-07-15T00:00:00Z,161.35
2019-07-12T00:00:00Z,161.1
2019-07-11T00:00:00Z,160.26
2019-07-10T00:00:00Z,160
2019-07-09T00:00:00Z,159.09
2019-07-08T00:00:00Z,159.32
2019-07-05T00:00:00Z,160.44
2019-07-03T00:00:00Z,161.08
2019-07-02T00:00:00Z,160.02
2019-07-01T00:00:00Z,159.43
2019-06-28T00:00:00Z,158.34
2019-06-27T00:00:00Z,157.73
2019-06-26T00:00:00Z,157.32
2019-06-25T00:00:00Z,157.44
2019-06-24T00:00:00Z,158.28
2019-06-21T00:00:00Z,158.65
2019-06-20T00:00:00Z,158.94
2019-06-19T00:00:00Z,157.22
2019-06-18T00:00:00Z,156.39
2019-06-17T00:00:00Z,154.69
2019-06-14T00:00:00Z,155.22
2019-06-13T00:00:00Z,156.1
2019-06-12T00:00:00Z,156.28
2019-06-11T00:00:00Z,156.78
2019-06-10T00:00:00Z,155.6
2019-06-07T00:00:00Z,154.96
2019-06-06T00:00:00Z,153.53
2019-06-05T00:00:00Z,152.58
2019-06-04T00:00:00Z,151.52
2019-06-03T00:00:00Z,148.94
2019-05-31T00:00:00Z,148.14
2019-05-30T00:00:00Z,149.49
2019-05-29T00:00:00Z,149.05
2019-05-28T00:00:00Z,150.27
2019-05-24T00:00:00Z,151.05
2019-05-23T00:00:00Z,150.65
2019-05-22T00:00:00Z,152.52
2019-05-21T00:00:00Z,153.31
2019-05-20T00:00:00Z,152.08
2019-05-17T00:00:00Z,152.63
2019-05-16T00:00:00Z,153.33
2019-05-15T00:00:00Z,152.19
2019-05-14T00:00:00Z,151.6
2019-05-13T00:00:00Z,150.71
2019-05-10T00:00:00Z,153.97
2019-05-09T00:00:00Z,153.47
2019-05-08T00:00:00Z,155.37
2019-05-07T00:00:00Z,155.67
2019-05-06T00:00:00Z,157.54
2019-05-03T00:00:00Z,158.52
2019-05-02T00:00:00Z,157.45
2019-05-01T00:00:00Z,158.61
2019-04-30T00:00:00Z,158.93
2019-04-29T00:00:00Z,158.55
2019-04-26T00:00:00Z,158.34
2019-04-25T00:00:00Z,158.51
2019-04-24T00:00:00Z,158.87
2019-04-23T00:00:00Z,159.58
2019-04-22T00:00:00Z,159.5
2019-04-18T00:00:00Z,159.4
2019-04-17T00:00:00Z,159.51
2019-04-16T00:00:00Z,159.04
2019-04-15T00:00:00Z,158.2
2019-04-12T00:00:00Z,157.92
2019-04-11T00:00:00Z,157.15
2019-04-10T00:00:00Z,157.09
2019-04-09T00:00:00Z,156.57
2019-04-08T00:00:00Z,157.46
2019-04-05T00:00:00Z,157.32
2019-04-04T00:00:00Z,157.18
2019-04-03T00:00:00Z,157.25
2019-04-02T00:00:00Z,156.03
2019-04-01T00:00:00Z,155.98
2019-03-29T00:00:00Z,154.25
2019-03-28T00:00:00Z,153.3
2019-03-27T00:00:00Z,153.02
2019-03-26T00:00:00Z,154.01
2019-03-25T00:00:00Z,152.53
2019-03-22T00:00:00Z,153.68
2019-03-21T00:00:00Z,156.34
2019-03-20T00:00:00Z,155.45
2019-03-19T00:00:00Z,156.1
2019-03-18T00:00:00Z,155.66
2019-03-15T00:00:00Z,154.64
2019-03-14T00:00:00Z,153.37
