Date,S&P500 ESG
08-10-2019,241.828
07-10-2019,245.6655
04-10-2019,246.6728
03-10-2019,243.0864
02-10-2019,241.2138
01-10-2019,245.9102
30-09-2019,248.9843
27-09-2019,247.8182
26-09-2019,249.1352
25-09-2019,249.7399
24-09-2019,248.1898
23-09-2019,250.2709
20-09-2019,250.1294
19-09-2019,251.3806
18-09-2019,251.3187
17-09-2019,251.2061
16-09-2019,250.5671
13-09-2019,251.5104
12-09-2019,251.6883
11-09-2019,250.7597
10-09-2019,249.0202
09-09-2019,248.9621
06-09-2019,248.9569
05-09-2019,248.5946
04-09-2019,245.4133
03-09-2019,242.8436
30-08-2019,244.3809
29-08-2019,244.1768
28-08-2019,241.1751
27-08-2019,239.7536
26-08-2019,240.4621
23-08-2019,237.7381
22-08-2019,244.1458
21-08-2019,244.3876
20-08-2019,242.2502
19-08-2019,244.0924
16-08-2019,241.1361
15-08-2019,237.586
14-08-2019,237.2525
13-08-2019,244.3452
12-08-2019,240.53
09-08-2019,243.5264
08-08-2019,245.1269
07-08-2019,240.6474
06-08-2019,240.4589
05-08-2019,237.3669
02-08-2019,244.5967
01-08-2019,246.4434
31-07-2019,248.5256
30-07-2019,251.2188
29-07-2019,251.9401
26-07-2019,252.082
25-07-2019,250.0266
24-07-2019,251.2062
23-07-2019,250.1362
22-07-2019,248.3946
19-07-2019,247.5539
18-07-2019,249.2711
17-07-2019,248.3992
16-07-2019,249.9066
15-07-2019,250.7386
12-07-2019,250.5049
11-07-2019,249.4836
10-07-2019,248.8199
09-07-2019,247.5668
08-07-2019,247.3588
05-07-2019,248.5402
03-07-2019,249.0222
02-07-2019,247.1192
01-07-2019,246.2952
28-06-2019,244.2799
27-06-2019,243.0095
26-06-2019,242.2186
25-06-2019,242.406
24-06-2019,244.9243
21-06-2019,245.4448
18-06-2019,242.6633
17-06-2019,240.3815
14-06-2019,240.3958
13-06-2019,240.744
12-06-2019,239.7555
11-06-2019,240.0548
10-06-2019,240.1213
07-06-2019,238.9234
06-06-2019,236.3248
05-06-2019,234.826
04-06-2019,232.8494
03-06-2019,228.0226
31-05-2019,228.6257
30-05-2019,231.6711
29-05-2019,231.2228
28-05-2019,232.8325
24-05-2019,234.8784
23-05-2019,234.5567
22-05-2019,237.2124
21-05-2019,237.9279
20-05-2019,236.0456
17-05-2019,237.6518
16-05-2019,238.9772
15-05-2019,236.7405
14-05-2019,235.3501
13-05-2019,233.4413
10-05-2019,239.1827
09-05-2019,238.3037
08-05-2019,239.1446
07-05-2019,239.5518
06-05-2019,243.4712
03-05-2019,244.4363
02-05-2019,242.0032
01-05-2019,242.5489
30-04-2019,244.3448
29-04-2019,243.5876
26-04-2019,243.3768
25-04-2019,242.2477
24-04-2019,242.0878
23-04-2019,242.6168
22-04-2019,240.6282
18-04-2019,240.3868
17-04-2019,239.9577
16-04-2019,240.4088
15-04-2019,240.4811
12-04-2019,240.496
11-04-2019,239.2765
10-04-2019,239.5549
09-04-2019,238.6088
08-04-2019,240.0253
05-04-2019,239.6133
04-04-2019,238.5361
03-04-2019,238.0893
02-04-2019,237.3659
01-04-2019,237.1884
29-03-2019,234.5885
28-03-2019,232.9907
27-03-2019,232.1758
26-03-2019,233.2471
25-03-2019,231.3831
22-03-2019,231.5147
21-03-2019,235.931
20-03-2019,233.3318
19-03-2019,234.2301
