Date,STOXX Europe Industry Neutral ESG EUR
2019-10-08T00:00:00Z,135.73
2019-10-07T00:00:00Z,137.24
2019-10-04T00:00:00Z,136.24
2019-10-03T00:00:00Z,135.21
2019-10-02T00:00:00Z,135.27
2019-10-01T00:00:00Z,139.07
2019-09-30T00:00:00Z,140.96
2019-09-27T00:00:00Z,140.41
2019-09-26T00:00:00Z,139.74
2019-09-25T00:00:00Z,138.88
2019-09-24T00:00:00Z,139.69
2019-09-23T00:00:00Z,139.65
2019-09-20T00:00:00Z,140.78
2019-09-19T00:00:00Z,140.25
2019-09-18T00:00:00Z,139.3
2019-09-17T00:00:00Z,139.26
2019-09-16T00:00:00Z,139.29
2019-09-13T00:00:00Z,140.06
2019-09-12T00:00:00Z,139.58
2019-09-11T00:00:00Z,139.32
2019-09-10T00:00:00Z,138.21
2019-09-09T00:00:00Z,137.96
2019-09-06T00:00:00Z,138.34
2019-09-05T00:00:00Z,137.91
2019-09-04T00:00:00Z,137.03
2019-09-03T00:00:00Z,135.81
2019-09-02T00:00:00Z,136.07
2019-08-30T00:00:00Z,135.57
2019-08-29T00:00:00Z,134.67
2019-08-28T00:00:00Z,133.2
2019-08-27T00:00:00Z,133.43
2019-08-26T00:00:00Z,132.67
2019-08-23T00:00:00Z,132.63
2019-08-22T00:00:00Z,133.71
2019-08-21T00:00:00Z,134.14
2019-08-20T00:00:00Z,132.57
2019-08-19T00:00:00Z,133.52
2019-08-16T00:00:00Z,132.04
2019-08-15T00:00:00Z,130.41
2019-08-14T00:00:00Z,130.75
2019-08-13T00:00:00Z,132.97
2019-08-12T00:00:00Z,132.17
2019-08-09T00:00:00Z,132.58
2019-08-08T00:00:00Z,133.64
2019-08-07T00:00:00Z,131.51
2019-08-06T00:00:00Z,131.13
2019-08-05T00:00:00Z,131.74
2019-08-02T00:00:00Z,134.82
2019-08-01T00:00:00Z,138.25
2019-07-31T00:00:00Z,137.54
2019-07-30T00:00:00Z,137.34
2019-07-29T00:00:00Z,139.38
2019-07-26T00:00:00Z,139.29
2019-07-25T00:00:00Z,138.85
2019-07-24T00:00:00Z,139.48
2019-07-23T00:00:00Z,139.45
2019-07-22T00:00:00Z,138.04
2019-07-19T00:00:00Z,137.84
2019-07-18T00:00:00Z,137.75
2019-07-17T00:00:00Z,138.2
2019-07-16T00:00:00Z,138.8
2019-07-15T00:00:00Z,138.27
2019-07-12T00:00:00Z,138
2019-07-11T00:00:00Z,137.95
2019-07-10T00:00:00Z,138.17
2019-07-09T00:00:00Z,138.47
2019-07-08T00:00:00Z,139.18
2019-07-05T00:00:00Z,139.29
2019-07-04T00:00:00Z,140.27
2019-07-03T00:00:00Z,140.13
2019-07-02T00:00:00Z,138.97
2019-07-01T00:00:00Z,138.45
2019-06-28T00:00:00Z,137.35
2019-06-27T00:00:00Z,136.42
2019-06-26T00:00:00Z,136.38
2019-06-25T00:00:00Z,136.73
2019-06-24T00:00:00Z,136.91
2019-06-21T00:00:00Z,137.27
2019-06-20T00:00:00Z,137.74
2019-06-19T00:00:00Z,137.29
2019-06-18T00:00:00Z,137.23
2019-06-17T00:00:00Z,134.94
2019-06-14T00:00:00Z,135.11
2019-06-13T00:00:00Z,135.65
2019-06-12T00:00:00Z,135.46
2019-06-11T00:00:00Z,135.82
2019-06-10T00:00:00Z,134.91
2019-06-07T00:00:00Z,134.62
2019-06-06T00:00:00Z,133.38
2019-06-05T00:00:00Z,133.33
2019-06-04T00:00:00Z,132.86
2019-06-03T00:00:00Z,132.07
2019-05-31T00:00:00Z,131.55
2019-05-30T00:00:00Z,132.65
2019-05-29T00:00:00Z,132.09
2019-05-28T00:00:00Z,133.98
2019-05-27T00:00:00Z,134.33
2019-05-24T00:00:00Z,134.07
2019-05-23T00:00:00Z,133.42
2019-05-22T00:00:00Z,135.34
2019-05-21T00:00:00Z,135.47
2019-05-20T00:00:00Z,134.73
2019-05-17T00:00:00Z,136.16
2019-05-16T00:00:00Z,136.65
2019-05-15T00:00:00Z,134.92
2019-05-14T00:00:00Z,134.34
2019-05-13T00:00:00Z,133.04
2019-05-10T00:00:00Z,134.56
2019-05-09T00:00:00Z,134.18
2019-05-08T00:00:00Z,136.45
2019-05-07T00:00:00Z,136.26
2019-05-06T00:00:00Z,138.18
2019-05-03T00:00:00Z,139.45
2019-05-02T00:00:00Z,138.87
2019-05-01T00:00:00Z,139.67
2019-04-30T00:00:00Z,139.77
2019-04-29T00:00:00Z,139.73
2019-04-26T00:00:00Z,139.64
2019-04-25T00:00:00Z,139.38
2019-04-24T00:00:00Z,139.75
2019-04-23T00:00:00Z,140.03
2019-04-18T00:00:00Z,139.75
