Date,STOXX Europe Leaders NE
09-10-2019,1914.71
08-10-2019,1905.73
07-10-2019,1926.61
04-10-2019,1913.44
03-10-2019,1901.15
02-10-2019,1906.57
01-10-2019,1956.63
30-09-2019,1975.73
27-09-2019,1965.43
26-09-2019,1957.22
25-09-2019,1946.15
24-09-2019,1951.29
23-09-2019,1958.98
20-09-2019,1980.12
19-09-2019,1972.53
18-09-2019,1955.31
17-09-2019,1953.38
16-09-2019,1961.94
13-09-2019,1974.33
12-09-2019,1960
11-09-2019,1954.07
10-09-2019,1944.52
09-09-2019,1921.23
06-09-2019,1905.72
05-09-2019,1905.13
04-09-2019,1878.32
03-09-2019,1858.73
02-09-2019,1868.94
30-08-2019,1863.73
29-08-2019,1856.5
28-08-2019,1838.12
27-08-2019,1841.7
26-08-2019,1834.53
23-08-2019,1826.13
22-08-2019,1849.49
21-08-2019,1847.63
20-08-2019,1829.47
19-08-2019,1851.47
16-08-2019,1828.41
15-08-2019,1798.29
14-08-2019,1808.34
13-08-2019,1844.13
12-08-2019,1826.68
09-08-2019,1835.45
08-08-2019,1859.98
07-08-2019,1831.85
06-08-2019,1830.71
05-08-2019,1838.54
02-08-2019,1862.38
01-08-2019,1908.42
31-07-2019,1896.8
30-07-2019,1897.48
29-07-2019,1936.42
26-07-2019,1932.5
25-07-2019,1939.76
24-07-2019,1951.4
23-07-2019,1950.13
22-07-2019,1924.77
19-07-2019,1924.49
18-07-2019,1928.68
17-07-2019,1938.22
16-07-2019,1949.85
15-07-2019,1943.25
12-07-2019,1938.08
11-07-2019,1934.61
10-07-2019,1933.87
09-07-2019,1937.09
08-07-2019,1944.76
05-07-2019,1960.26
04-07-2019,1962.19
03-07-2019,1952.21
02-07-2019,1933.9
01-07-2019,1929
28-06-2019,1916.94
27-06-2019,1904.56
26-06-2019,1902.78
25-06-2019,1901.87
24-06-2019,1909.59
21-06-2019,1924.56
20-06-2019,1924.13
19-06-2019,1932.75
18-06-2019,1926.93
17-06-2019,1894.06
14-06-2019,1893.55
13-06-2019,1902.57
12-06-2019,1899.58
11-06-2019,1913.28
10-06-2019,1899.7
07-06-2019,1890.26
