Date,STOXX Europe Leaders
09-10-2019,153.21
08-10-2019,152.78
07-10-2019,154.18
04-10-2019,152.8
03-10-2019,152.05
02-10-2019,152.3
01-10-2019,156.25
30-09-2019,157.13
27-09-2019,156.34
26-09-2019,156.14
25-09-2019,154.73
24-09-2019,155.35
23-09-2019,155.61
20-09-2019,156.69
19-09-2019,156.04
18-09-2019,155.31
17-09-2019,154.23
16-09-2019,154.13
13-09-2019,154.86
12-09-2019,154.41
11-09-2019,154.35
10-09-2019,152.94
09-09-2019,151.93
06-09-2019,152.18
05-09-2019,152.33
04-09-2019,151.46
03-09-2019,150.07
02-09-2019,150.51
30-08-2019,149.82
29-08-2019,149.17
28-08-2019,148.21
27-08-2019,148.53
26-08-2019,147.09
23-08-2019,146.83
22-08-2019,147.62
21-08-2019,147.84
20-08-2019,146.77
19-08-2019,148.31
16-08-2019,146.75
15-08-2019,144.81
14-08-2019,145.27
13-08-2019,147.25
12-08-2019,146.44
09-08-2019,146.67
08-08-2019,147.97
07-08-2019,146.48
06-08-2019,146.25
05-08-2019,147.05
02-08-2019,149.69
01-08-2019,151.45
31-07-2019,151.07
30-07-2019,151.15
29-07-2019,153.72
26-07-2019,153.1
25-07-2019,153.33
24-07-2019,153.87
23-07-2019,153
22-07-2019,152.32
19-07-2019,152.81
18-07-2019,153.58
17-07-2019,153.62
16-07-2019,153.69
15-07-2019,154.09
12-07-2019,153.79
11-07-2019,153.8
10-07-2019,153.76
09-07-2019,154.43
08-07-2019,154.44
05-07-2019,154.94
04-07-2019,156.29
03-07-2019,155.91
02-07-2019,154.4
01-07-2019,153.44
28-06-2019,152.57
27-06-2019,152.12
26-06-2019,153.2
25-06-2019,153.76
24-06-2019,154.09
21-06-2019,154.92
20-06-2019,154.75
19-06-2019,154.91
18-06-2019,155.48
17-06-2019,153.32
14-06-2019,153.94
13-06-2019,154.23
12-06-2019,153.63
11-06-2019,153.93
10-06-2019,153.38
07-06-2019,153.42
06-06-2019,151.83
05-06-2019,151.73
04-06-2019,150.95
03-06-2019,150.09
31-05-2019,149.88
30-05-2019,150.27
29-05-2019,150.02
28-05-2019,152.44
27-05-2019,153.01
24-05-2019,152.4
23-05-2019,150.61
22-05-2019,152.94
21-05-2019,153.65
20-05-2019,152.76
17-05-2019,153.86
16-05-2019,154.14
15-05-2019,152.24
14-05-2019,151.51
13-05-2019,150.5
10-05-2019,151.98
09-05-2019,151.06
08-05-2019,152.47
07-05-2019,153.55
06-05-2019,154.36
03-05-2019,155.08
02-05-2019,155.32
01-05-2019,156.01
30-04-2019,155.93
29-04-2019,156.03
26-04-2019,156.39
25-04-2019,155.93
24-04-2019,156.05
23-04-2019,156.52
18-04-2019,156.89
17-04-2019,156.65
16-04-2019,156.74
15-04-2019,157.01
12-04-2019,156.58
11-04-2019,156.78
10-04-2019,156.96
09-04-2019,156.14
08-04-2019,156.84
05-04-2019,157.38
04-04-2019,158.18
03-04-2019,158.39
02-04-2019,156.83
01-04-2019,156.03
29-03-2019,155.14
28-03-2019,154.9
27-03-2019,156.07
26-03-2019,155.81
25-03-2019,155.39
22-03-2019,156.06
21-03-2019,157.55
20-03-2019,157.02
19-03-2019,158.38
18-03-2019,157.91
15-03-2019,156.9
14-03-2019,155.99
13-03-2019,154.34
12-03-2019,153.16
11-03-2019,153.25
08-03-2019,151.99
07-03-2019,152.88
06-03-2019,153.69
05-03-2019,153.71
04-03-2019,153.98
01-03-2019,153.93
28-02-2019,154.12
27-02-2019,152.75
26-02-2019,152.16
25-02-2019,152.21
22-02-2019,151.67
21-02-2019,150.77
20-02-2019,151.37
19-02-2019,151.69
18-02-2019,151.71
15-02-2019,151.24
14-02-2019,149.1
13-02-2019,150.25
12-02-2019,150.17
11-02-2019,149.47
08-02-2019,148.48
07-02-2019,149.78
06-02-2019,151.96
05-02-2019,152.09
04-02-2019,150.4
01-02-2019,151.01
31-01-2019,151.01
30-01-2019,152.15
29-01-2019,151.9
28-01-2019,151.19
25-01-2019,152.12
24-01-2019,151.66
23-01-2019,150.76
22-01-2019,150.63
21-01-2019,151.46
18-01-2019,152.14
17-01-2019,149.91
16-01-2019,150.65
15-01-2019,149.14
14-01-2019,149.37
11-01-2019,149.11
10-01-2019,148.83
09-01-2019,147.94
08-01-2019,147.86
07-01-2019,146.98
04-01-2019,147.34
03-01-2019,143.81
02-01-2019,143.68
31-12-2018,144
28-12-2018,143.16
27-12-2018,140.71
24-12-2018,143.17
21-12-2018,143.95
