Date,STOXX Global ESG Impact USD
2019-10-09T00:00:00Z,1318.72
2019-10-08T00:00:00Z,1319.15
2019-10-07T00:00:00Z,1335.68
2019-10-04T00:00:00Z,1335.91
2019-10-03T00:00:00Z,1321.84
2019-10-02T00:00:00Z,1316.69
2019-10-01T00:00:00Z,1341.16
2019-09-30T00:00:00Z,1353.98
2019-09-27T00:00:00Z,1350.67
2019-09-26T00:00:00Z,1354.33
2019-09-25T00:00:00Z,1355.37
2019-09-24T00:00:00Z,1353.49
2019-09-23T00:00:00Z,1361.28
2019-09-20T00:00:00Z,1363.59
2019-09-19T00:00:00Z,1368.49
2019-09-18T00:00:00Z,1365.32
2019-09-17T00:00:00Z,1365.53
2019-09-16T00:00:00Z,1361.16
2019-09-13T00:00:00Z,1370.45
2019-09-12T00:00:00Z,1367.69
2019-09-11T00:00:00Z,1362.37
2019-09-10T00:00:00Z,1352.09
2019-09-09T00:00:00Z,1352.33
2019-09-06T00:00:00Z,1352.53
2019-09-05T00:00:00Z,1350.24
2019-09-04T00:00:00Z,1333.57
2019-09-03T00:00:00Z,1318.24
2019-09-02T00:00:00Z,1324.52
2019-08-30T00:00:00Z,1325.27
2019-08-29T00:00:00Z,1322.09
2019-08-28T00:00:00Z,1308.7
2019-08-27T00:00:00Z,1305.01
2019-08-26T00:00:00Z,1304.64
2019-08-23T00:00:00Z,1297.82
2019-08-22T00:00:00Z,1320.77
2019-08-21T00:00:00Z,1324.54
2019-08-20T00:00:00Z,1314.88
2019-08-19T00:00:00Z,1322.81
2019-08-16T00:00:00Z,1307.66
2019-08-15T00:00:00Z,1291.28
2019-08-14T00:00:00Z,1295.57
2019-08-13T00:00:00Z,1325.13
2019-08-12T00:00:00Z,1312.68
2019-08-09T00:00:00Z,1322.71
2019-08-08T00:00:00Z,1329.92
2019-08-07T00:00:00Z,1309.99
2019-08-06T00:00:00Z,1307.28
2019-08-05T00:00:00Z,1300.53
2019-08-02T00:00:00Z,1334.85
2019-08-01T00:00:00Z,1351.3
2019-07-31T00:00:00Z,1359.05
2019-07-30T00:00:00Z,1368.5
2019-07-29T00:00:00Z,1374.68
2019-07-26T00:00:00Z,1376.02
2019-07-25T00:00:00Z,1370.79
2019-07-24T00:00:00Z,1378.16
2019-07-23T00:00:00Z,1373.63
2019-07-22T00:00:00Z,1366.51
2019-07-19T00:00:00Z,1362.13
2019-07-18T00:00:00Z,1365.02
2019-07-17T00:00:00Z,1365.39
2019-07-16T00:00:00Z,1370.72
2019-07-15T00:00:00Z,1374.26
2019-07-12T00:00:00Z,1372.57
2019-07-11T00:00:00Z,1366.85
2019-07-10T00:00:00Z,1364.72
2019-07-09T00:00:00Z,1358.11
2019-07-08T00:00:00Z,1358.68
2019-07-05T00:00:00Z,1365.51
2019-07-04T00:00:00Z,1371.67
2019-07-03T00:00:00Z,1370.54
2019-07-02T00:00:00Z,1361.73
2019-07-01T00:00:00Z,1356.33
2019-06-28T00:00:00Z,1346.73
2019-06-27T00:00:00Z,1340.82
2019-06-26T00:00:00Z,1336.68
2019-06-25T00:00:00Z,1337.62
2019-06-24T00:00:00Z,1348.79
2019-06-21T00:00:00Z,1346.68
2019-06-20T00:00:00Z,1350.68
2019-06-19T00:00:00Z,1338.2
2019-06-18T00:00:00Z,1331.71
2019-06-17T00:00:00Z,1319.07
2019-06-14T00:00:00Z,1319.87
2019-06-13T00:00:00Z,1323.52
2019-06-12T00:00:00Z,1322.12
2019-06-11T00:00:00Z,1325.28
2019-06-10T00:00:00Z,1320.44
2019-06-07T00:00:00Z,1314.38
2019-06-06T00:00:00Z,1298.12
2019-06-05T00:00:00Z,1292.18
2019-06-04T00:00:00Z,1280.72
2019-06-03T00:00:00Z,1260.22
2019-05-31T00:00:00Z,1263.08
2019-05-30T00:00:00Z,1277.67
2019-05-29T00:00:00Z,1276.89
2019-05-28T00:00:00Z,1288.55
2019-05-27T00:00:00Z,1294.77
2019-05-24T00:00:00Z,1294.03
2019-05-23T00:00:00Z,1289.23
2019-05-22T00:00:00Z,1304.94
2019-05-21T00:00:00Z,1308.61
2019-05-20T00:00:00Z,1301.13
2019-05-17T00:00:00Z,1308.52
2019-05-16T00:00:00Z,1313.53
2019-05-15T00:00:00Z,1303.34
2019-05-14T00:00:00Z,1295.96
2019-05-13T00:00:00Z,1287.88
2019-05-10T00:00:00Z,1314.11
2019-05-09T00:00:00Z,1310.52
2019-05-08T00:00:00Z,1319.52
2019-05-07T00:00:00Z,1321.94
2019-05-06T00:00:00Z,1340.68
2019-05-03T00:00:00Z,1348.22
2019-05-02T00:00:00Z,1337.56
2019-05-01T00:00:00Z,1344.68
2019-04-30T00:00:00Z,1346.99
2019-04-29T00:00:00Z,1346.25
2019-04-26T00:00:00Z,1344.87
2019-04-25T00:00:00Z,1339.2
2019-04-24T00:00:00Z,1340.72
2019-04-23T00:00:00Z,1344.02
2019-04-22T00:00:00Z,1337.02
2019-04-18T00:00:00Z,1336.31
2019-04-17T00:00:00Z,1336.72
2019-04-16T00:00:00Z,1335.33
2019-04-15T00:00:00Z,1333.06
2019-04-12T00:00:00Z,1331.52
2019-04-11T00:00:00Z,1322.39
2019-04-10T00:00:00Z,1323.6
2019-04-09T00:00:00Z,1320.17
2019-04-08T00:00:00Z,1325.24
2019-04-05T00:00:00Z,1321.95
2019-04-04T00:00:00Z,1318.51
2019-04-03T00:00:00Z,1319.6
2019-04-02T00:00:00Z,1310.93
2019-04-01T00:00:00Z,1310.45
2019-03-29T00:00:00Z,1295.44
2019-03-28T00:00:00Z,1288.09
2019-03-27T00:00:00Z,1287.84
2019-03-26T00:00:00Z,1292.84
2019-03-25T00:00:00Z,1284.45
2019-03-22T00:00:00Z,1290.49
2019-03-21T00:00:00Z,1311
2019-03-20T00:00:00Z,1300.84
2019-03-19T00:00:00Z,1306.36
2019-03-18T00:00:00Z,1304.13
2019-03-15T00:00:00Z,1297.56
2019-03-14T00:00:00Z,1288.68
2019-03-13T00:00:00Z,1286.53
2019-03-12T00:00:00Z,1278.77
2019-03-11T00:00:00Z,1273.05
2019-03-08T00:00:00Z,1257.4
2019-03-07T00:00:00Z,1263.25
2019-03-06T00:00:00Z,1274.39
2019-03-05T00:00:00Z,1279.83
2019-03-04T00:00:00Z,1282.26
2019-03-01T00:00:00Z,1284.7
2019-02-28T00:00:00Z,1278.27
2019-02-27T00:00:00Z,1282.49
2019-02-26T00:00:00Z,1281.88
