week_year,DJS EU
40-2012,90.62
41-2012,89.3
42-2012,91.26
43-2012,89.71
44-2012,90.84
45-2012,89.42
46-2012,87.12
47-2012,90.57
48-2012,91.46
49-2012,92.65
50-2012,92.94
51-2012,93.67
52-2012,92.96
53-2012,93.23
01-2013,95.56
02-2013,95.48
03-2013,96.08
04-2013,96.6
05-2013,94.41
06-2013,94.86
07-2013,95.21
08-2013,96.2
09-2013,95.94
10-2013,98.21
11-2013,98.7
12-2013,97.36
13-2013,97.32
14-2013,95.56
15-2013,96.49
16-2013,94.73
17-2013,98.73
18-2013,99.89
19-2013,101.14
20-2013,102.5
21-2013,100.86
22-2013,98.81
23-2013,97.91
24-2013,97.21
25-2013,91.3
26-2013,95.32
27-2013,96.38
28-2013,98.03
29-2013,98.99
30-2013,98.64
31-2013,100.58
32-2013,101.07
33-2013,100.53
34-2013,100.73
35-2013,99.78
36-2013,100.74
37-2013,103.3
38-2013,103.42
39-2013,102.72
40-2013,102.19
41-2013,103.39
42-2013,105.83
43-2013,105.95
44-2013,106.47
45-2013,106.98
46-2013,107.4
47-2013,107.18
48-2013,107.06
49-2013,104.68
50-2013,103.18
51-2013,106.29
52-2013,107.62
53-2013,107.89
01-2014,108.21
02-2014,108.96
03-2014,110.46
04-2014,106.49
05-2014,104.43
06-2014,108.3
07-2014,110.13
08-2014,111.18
09-2014,110.42
10-2014,108.53
11-2014,107.63
12-2014,108.09
13-2014,111.03
14-2014,110.61
15-2014,108.53
16-2014,111.56
17-2014,112.13
18-2014,111.43
19-2014,113.61
20-2014,112.44
21-2014,114.38
22-2014,114.19
23-2014,116.16
24-2014,115.33
25-2014,115.33
26-2014,114.93
27-2014,113.52
28-2014,113.04
29-2014,114.59
30-2014,114.76
31-2014,110.85
32-2014,109.85
33-2014,111.75
34-2014,114.42
35-2014,114.55
36-2014,115.66
37-2014,115.08
38-2014,114.47
39-2014,114.87
40-2014,110.65
41-2014,107.76
42-2014,108.21
43-2014,109.67
44-2014,110.56
45-2014,113.08
46-2014,113.19
47-2014,115.42
48-2014,116.09
49-2014,113.73
50-2014,109.64
51-2014,114.1
52-2014,113.05
53-2014,113.5
01-2015,110.32
02-2015,112.26
03-2015,118.74
04-2015,121.97
05-2015,123.04
06-2015,122.53
07-2015,125.32
08-2015,127.65
09-2015,129.27
10-2015,130.51
11-2015,132.37
12-2015,132.45
13-2015,132.95
14-2015,135.1
15-2015,138.09
16-2015,135.97
17-2015,131.74
18-2015,128.99
19-2015,130.64
20-2015,134.23
21-2015,134.95
22-2015,130.62
23-2015,129.2
24-2015,126.86
25-2015,131.26
26-2015,127.82
27-2015,123.38
28-2015,132.5
29-2015,132.45
30-2015,130.31
31-2015,133.55
32-2015,126.71
33-2015,126.1
34-2015,115.85
35-2015,116.86
36-2015,119.82
37-2015,119.32
38-2015,113.91
39-2015,114.7
40-2015,118.56
41-2015,117.28
42-2015,119.7
43-2015,124.52
44-2015,125.3
45-2015,124.78
46-2015,124.76
47-2015,125.34
48-2015,126.14
49-2015,119.32
50-2015,118
51-2015,119.88
52-2015,120.27
53-2015,119.53
01-2016,113.4
02-2016,111.36
03-2016,107.89
04-2016,109.73
05-2016,107.84
06-2016,99.82
07-2016,107.65
08-2016,107.13
09-2016,111.41
10-2016,109.55
11-2016,111.52
12-2016,109.48
13-2016,110.32
14-2016,107.58
15-2016,113.05
16-2016,115.29
17-2016,114.94
18-2016,109.19
19-2016,109.34
20-2016,109.54
21-2016,114.81
22-2016,113.2
23-2016,111.98
24-2016,105.5
25-2016,113.87
26-2016,108.82
27-2016,106.61
28-2016,111.74
29-2016,112.24
30-2016,112.32
31-2016,111.71
32-2016,114.99
33-2016,113.57
34-2016,113.22
35-2016,113.93
36-2016,115.76
37-2016,112.74
38-2016,115.28
39-2016,113.4
40-2016,113.48
41-2016,111.03
42-2016,113.78
43-2016,113.44
44-2016,109.95
45-2016,112.46
46-2016,113.09
47-2016,113.19
48-2016,112.88
49-2016,116.84
50-2016,119.14
51-2016,119.47
52-2016,119.46
53-2016,119.87
01-2017,121.08
02-2017,121.3
03-2017,119.81
04-2017,121.1
05-2017,120.36
06-2017,121.4
07-2017,122.62
08-2017,122.75
09-2017,125.23
10-2017,124.92
11-2017,126.57
12-2017,126.2
13-2017,127.76
14-2017,127.77
15-2017,127.19
16-2017,126.36
17-2017,129.25
18-2017,132
19-2017,132.18
20-2017,130.81
21-2017,131.03
22-2017,131.59
23-2017,130.74
24-2017,129.98
25-2017,129.57
26-2017,126.98
27-2017,127.15
28-2017,129.27
29-2017,126.86
30-2017,125.89
31-2017,127.53
32-2017,124.16
33-2017,124.88
34-2017,124.61
35-2017,125.07
36-2017,124.82
37-2017,126.42
38-2017,126.83
39-2017,128.48
40-2017,129.08
41-2017,129.64
42-2017,128.92
43-2017,129.6
44-2017,130.42
45-2017,128.08
46-2017,126.87
47-2017,127.9
48-2017,126.72
49-2017,128.55
50-2017,128.16
51-2017,128.22
52-2017,127.82
01-2018,130.18
02-2018,130.31
03-2018,130.89
04-2018,131.14
05-2018,127.48
06-2018,121.22
07-2018,124.69
08-2018,124.89
09-2018,120.51
10-2018,123.98
11-2018,123.87
12-2018,119.72
13-2018,121.64
14-2018,122.93
15-2018,123.86
16-2018,124.1
17-2018,125.65
18-2018,126
19-2018,127.12
20-2018,127.63
21-2018,126.63
22-2018,124.9
23-2018,124.13
24-2018,125.6
25-2018,124.64
26-2018,123.43
27-2018,124.61
28-2018,125.55
29-2018,125.96
30-2018,128.48
31-2018,128.12
32-2018,127.06
33-2018,126.14
34-2018,126.55
35-2018,126.04
36-2018,123.62
37-2018,125.22
38-2018,127.28
39-2018,127.07
40-2018,125.18
41-2018,119.65
42-2018,121.38
43-2018,119.63
44-2018,122.45
45-2018,124.11
46-2018,121.69
47-2018,120.74
48-2018,122.15
49-2018,117.95
50-2018,118.7
51-2018,115.01
52-2018,114.81
53-2018,115.13
01-2019,116.56
02-2019,118.03
03-2019,120.91
04-2019,119.95
05-2019,121.72
06-2019,122.78
07-2019,125.53
08-2019,126.87
09-2019,127.18
10-2019,127.11
11-2019,130.08
12-2019,127.68
13-2019,130.59
14-2019,131.42
15-2019,131.23
16-2019,131.59
17-2019,132.83
18-2019,131.56
19-2019,127.6
20-2019,129.95
21-2019,130.28
22-2019,128.28
23-2019,130.64
24-2019,130.81
25-2019,132.59
26-2019,133.64
27-2019,134.63
28-2019,133.81
29-2019,133.8
30-2019,135.17
31-2019,128.87
32-2019,129.26
33-2019,130.76
34-2019,129.89
35-2019,133.19
36-2019,134.17
37-2019,134.34
38-2019,135.24
39-2019,136.97
