week_year,Dow Jones Precious Metals Index
40-2012,372.68
41-2012,359.4
42-2012,359.35
43-2012,355.19
44-2012,343.26
45-2012,345.43
46-2012,321.97
47-2012,337.08
48-2012,329.83
49-2012,308.07
50-2012,312.75
51-2012,308.28
52-2012,310.13
53-2012,319.27
01-2013,311.61
02-2013,313.88
03-2013,311.5
04-2013,299.2
05-2013,304.87
06-2013,300.47
07-2013,291.59
08-2013,276.89
09-2013,264.5
10-2013,270.69
11-2013,273.06
12-2013,272.95
13-2013,273.18
14-2013,257.97
15-2013,220.15
16-2013,217.96
17-2013,225.49
18-2013,228
19-2013,226.46
20-2013,221.21
21-2013,212.99
22-2013,231.55
23-2013,222.87
24-2013,217.92
25-2013,188.52
26-2013,195.04
27-2013,181.46
28-2013,190.08
29-2013,208.72
30-2013,206.73
31-2013,198.14
32-2013,215.68
33-2013,221.57
34-2013,227.91
35-2013,214.76
36-2013,215.79
37-2013,205.75
38-2013,206.02
39-2013,205.82
40-2013,203.68
41-2013,197.6
42-2013,209.86
43-2013,224.74
44-2013,214.4
45-2013,211.88
46-2013,208.53
47-2013,198.46
48-2013,188.5
49-2013,188.92
50-2013,190.99
51-2013,189.02
52-2013,194.39
53-2013,197.59
01-2014,199.7
02-2014,198.25
03-2014,206.69
04-2014,201.56
05-2014,198.78
06-2014,212.91
07-2014,220.09
08-2014,218.64
09-2014,217.89
10-2014,213.29
11-2014,218.83
12-2014,208.47
13-2014,205.13
14-2014,213.76
15-2014,207.92
16-2014,206.63
17-2014,211.76
18-2014,210.66
19-2014,210.83
20-2014,205.92
21-2014,198.83
22-2014,197.74
23-2014,201.74
24-2014,206.71
25-2014,218.27
26-2014,224.34
27-2014,229.19
28-2014,225.78
29-2014,231.02
30-2014,230.63
31-2014,224.58
32-2014,232.13
33-2014,227.9
34-2014,224.45
35-2014,220.46
36-2014,210.78
37-2014,208.47
38-2014,195.79
39-2014,188.61
40-2014,181.1
41-2014,184.21
42-2014,183.65
43-2014,175.54
44-2014,155.07
45-2014,160.64
46-2014,171.88
47-2014,172.71
48-2014,159.83
49-2014,161.49
50-2014,139.05
51-2014,143.76
52-2014,152.24
53-2014,151.04
01-2015,159.09
02-2015,153.07
03-2015,173.99
04-2015,168.18
05-2015,173.2
06-2015,165.53
07-2015,171.34
08-2015,170.38
09-2015,163.37
10-2015,147.78
11-2015,149.74
12-2015,152.57
13-2015,153.34
14-2015,151.85
15-2015,162.08
16-2015,157.13
17-2015,171.28
18-2015,164.12
19-2015,169.62
20-2015,162.14
21-2015,154.85
22-2015,154.73
23-2015,152.13
24-2015,150.11
25-2015,148.91
26-2015,138.73
27-2015,135.5
28-2015,131.27
29-2015,113.4
30-2015,107.03
31-2015,98.99
32-2015,111.3
33-2015,109.46
34-2015,94.5
35-2015,100.85
36-2015,97.87
37-2015,104.65
38-2015,96.64
39-2015,100.58
40-2015,114.55
41-2015,123.68
42-2015,116.6
43-2015,118.33
44-2015,110.26
45-2015,102.24
46-2015,101.91
47-2015,103.05
48-2015,104.21
49-2015,106.76
50-2015,105.49
51-2015,104.75
52-2015,102
53-2015,102.38
01-2016,112.01
02-2016,98.51
03-2016,96.84
04-2016,106.19
05-2016,124.62
06-2016,139.15
07-2016,143.53
08-2016,148.76
09-2016,150.88
10-2016,156.85
11-2016,161.01
12-2016,152.33
13-2016,155.57
14-2016,161.53
15-2016,167.97
16-2016,180.36
17-2016,188.62
18-2016,186.67
19-2016,187.39
20-2016,184.42
21-2016,177.38
22-2016,176.3
23-2016,201.22
24-2016,196.47
25-2016,194.52
26-2016,214.6
27-2016,226.59
28-2016,230.09
29-2016,221.7
30-2016,228.55
31-2016,239.29
32-2016,239.26
33-2016,235.05
34-2016,207.34
35-2016,201.98
36-2016,213.08
37-2016,200.5
38-2016,212.47
39-2016,204.75
40-2016,175.41
41-2016,178.87
42-2016,188.13
43-2016,180.62
44-2016,192.22
45-2016,172.19
46-2016,162.92
47-2016,156.18
48-2016,158.67
49-2016,164.21
50-2016,147.78
51-2016,149.46
52-2016,168.4
53-2016,162.42
01-2017,172.38
02-2017,174.3
03-2017,177.62
04-2017,178.63
05-2017,187.37
06-2017,192.34
07-2017,188.63
08-2017,182.66
09-2017,170.35
10-2017,166.21
11-2017,171.74
12-2017,175.15
13-2017,173.53
14-2017,178.54
15-2017,186.11
16-2017,181.48
17-2017,171.9
18-2017,168.24
19-2017,177.61
20-2017,178.52
21-2017,177.96
22-2017,176
23-2017,176.11
24-2017,167.68
25-2017,174.28
26-2017,167.42
27-2017,160.35
28-2017,166.35
29-2017,171.61
30-2017,175.08
31-2017,170.52
32-2017,175.57
33-2017,174.26
34-2017,177.21
35-2017,187.44
36-2017,190.17
37-2017,182.74
38-2017,177.44
39-2017,174.61
40-2017,178.84
41-2017,180.67
42-2017,175.78
43-2017,170.03
44-2017,168.2
45-2017,169.03
46-2017,170.84
47-2017,171.37
48-2017,168.12
49-2017,161.88
50-2017,165.25
51-2017,171.81
52-2017,174.01
01-2018,176.84
02-2018,179.79
03-2018,177.01
04-2018,181.55
05-2018,169.99
06-2018,157.3
07-2018,166.24
08-2018,160.16
09-2018,156.47
10-2018,156.78
11-2018,157.11
12-2018,162.69
13-2018,161.98
14-2018,162.73
15-2018,168.66
16-2018,168.78
17-2018,167.99
18-2018,166.99
19-2018,168.86
20-2018,164.09
21-2018,165.99
22-2018,165.28
23-2018,165.3
24-2018,164.55
25-2018,163.85
26-2018,164.34
27-2018,168.04
28-2018,162.38
29-2018,161.72
30-2018,156.25
31-2018,155.48
32-2018,151.12
33-2018,135.88
34-2018,138.62
35-2018,135.12
36-2018,129.27
37-2018,129.79
38-2018,134.85
39-2018,134.07
40-2018,135.48
41-2018,144.07
