week_year,GSLI
40-2012,100.4569
41-2012,98.1019
42-2012,99.9277
43-2012,98.3607
44-2012,100.1224
45-2012,97.9541
46-2012,96.1931
47-2012,100.1556
48-2012,100.9408
49-2012,102.3166
50-2012,103.4745
51-2012,104.6304
52-2012,103.9986
53-2012,104.5057
01-2013,107.0959
02-2013,108.6336
03-2013,108.8008
04-2013,109.9537
05-2013,109.6078
06-2013,108.6335
07-2013,108.8376
08-2013,108.5152
09-2013,108.7932
10-2013,112.1942
11-2013,111.2965
12-2013,111.1193
13-2013,110.9665
14-2013,110.4096
15-2013,111.4995
16-2013,111.8096
17-2013,115.3886
18-2013,115.1728
19-2013,116.4272
20-2013,118.1817
21-2013,116.24
22-2013,115.423
23-2013,114.9836
24-2013,115.3692
25-2013,108.5425
26-2013,111.6246
27-2013,111.7812
28-2013,115.5948
29-2013,116.5461
30-2013,116.8029
31-2013,118.1451
32-2013,118.7952
33-2013,117.2288
34-2013,116.5796
35-2013,114.2784
36-2013,118.4014
37-2013,121.1678
38-2013,122.4109
39-2013,121.0154
40-2013,120.3124
41-2013,122.1237
42-2013,125.6804
43-2013,126.3544
44-2013,125.5184
45-2013,125.0492
46-2013,126.0178
47-2013,124.8172
48-2013,124.7492
49-2013,124.3335
50-2013,122.1501
51-2013,124.7231
52-2013,126.6883
53-2013,126.8857
01-2014,125.2631
02-2014,125.8455
03-2014,125.9338
04-2014,122.8252
05-2014,119.6965
06-2014,125.0111
07-2014,126.49
08-2014,126.4027
09-2014,126.5349
10-2014,127.0309
11-2014,126.6134
12-2014,126.5222
13-2014,129.2803
14-2014,129.2409
15-2014,127.9884
16-2014,130.9441
17-2014,130.7935
18-2014,130.354
19-2014,131.0851
20-2014,129.6533
21-2014,131.7029
22-2014,132.4923
23-2014,134.2202
24-2014,134.1948
25-2014,135.1545
26-2014,135.8636
27-2014,135.7906
28-2014,136.2323
29-2014,137.5604
30-2014,137.142
31-2014,133.3468
32-2014,133.6796
33-2014,135.6695
34-2014,136.6289
35-2014,136.4203
36-2014,135.4867
37-2014,134.2495
38-2014,132.0821
39-2014,130.5883
40-2014,127.8584
41-2014,124.0745
42-2014,126.4925
43-2014,129.6671
44-2014,129.7514
45-2014,130.1973
46-2014,131.6364
47-2014,132.8196
48-2014,132.017
49-2014,130.2914
50-2014,125.0414
51-2014,129.4416
52-2014,129.2502
53-2014,128.5537
01-2015,125.156
02-2015,126.309
03-2015,128.1588
04-2015,128.8558
05-2015,129.9079
06-2015,129.2612
07-2015,132.5501
08-2015,134.4179
09-2015,132.3599
10-2015,127.7289
11-2015,130.0684
12-2015,131.9887
13-2015,130.0099
14-2015,132.4868
15-2015,134.7448
16-2015,134.871
17-2015,137.207
18-2015,134.4397
19-2015,135.369
20-2015,135.7705
21-2015,134.0981
22-2015,133.5539
23-2015,132.469
24-2015,131.3304
25-2015,133.4494
26-2015,129.744
27-2015,126.2752
28-2015,130.4456
29-2015,129.213
30-2015,129.0202
31-2015,129.9578
32-2015,127.3211
33-2015,125.8965
34-2015,118.7519
35-2015,118.852
36-2015,120.1935
37-2015,122.2772
38-2015,118.183
39-2015,118.7977
40-2015,125.1783
41-2015,125.8577
42-2015,127.7131
43-2015,131.0263
44-2015,129.8752
45-2015,128.0143
46-2015,127.9979
47-2015,129.6076
48-2015,129.5855
49-2015,127.0235
50-2015,126.4573
51-2015,126.9527
52-2015,127.5465
53-2015,126.6534
01-2016,118.8584
02-2016,116.6972
03-2016,112.013
04-2016,116.242
05-2016,118.033
06-2016,113.382
07-2016,119.3663
08-2016,119.346
09-2016,122.6953
10-2016,123.9281
11-2016,127.5379
12-2016,125.465
13-2016,127.471
14-2016,124.206
15-2016,129.0651
16-2016,131.4971
17-2016,130.7065
18-2016,126.2692
19-2016,126.7581
20-2016,124.2122
21-2016,127.7123
22-2016,127.5875
23-2016,129.4953
24-2016,124.0713
25-2016,130.3888
26-2016,127.1114
27-2016,125.8012
28-2016,131.4705
29-2016,131.3967
30-2016,132.855
31-2016,132.8606
32-2016,136.1481
33-2016,135.6067
34-2016,135.0337
35-2016,134.7658
36-2016,137.2653
37-2016,133.6205
38-2016,137.1658
39-2016,135.3964
40-2016,135.851
41-2016,132.0291
42-2016,133.2366
43-2016,132.6084
44-2016,130.6053
45-2016,132.7834
46-2016,132.5458
47-2016,132.9031
48-2016,133.3191
49-2016,136.4261
50-2016,136.5189
51-2016,136.8507
52-2016,137.0388
53-2016,136.786
01-2017,139.5449
02-2017,139.9695
03-2017,138.1188
04-2017,139.1928
05-2017,139.2233
06-2017,139.5675
07-2017,142.7704
08-2017,142.8662
09-2017,143.0389
10-2017,143.1754
11-2017,144.5001
12-2017,144.3701
13-2017,144.9891
14-2017,143.6788
15-2017,143.3046
16-2017,144.5258
17-2017,148.1175
18-2017,149.6291
19-2017,148.8609
20-2017,148.3045
21-2017,150.1426
22-2017,152.5275
23-2017,151.0332
24-2017,150.994
25-2017,151.2403
26-2017,149.8032
27-2017,149.1163
28-2017,152.1317
29-2017,153.0517
30-2017,151.8661
31-2017,153.1941
32-2017,151.4231
33-2017,150.9916
34-2017,152.9226
35-2017,154.322
36-2017,154.3229
37-2017,156.7783
38-2017,157.7058
39-2017,157.3319
40-2017,158.8826
41-2017,160.1549
42-2017,160.6376
43-2017,159.4031
44-2017,161.2073
45-2017,160.4681
46-2017,159.5719
47-2017,161.4884
48-2017,161.7259
49-2017,161.7794
50-2017,162.17
51-2017,163.6
52-2017,164.32
01-2018,167.79
02-2018,168.85
03-2018,169.85
04-2018,172.89
05-2018,166.82
06-2018,158.57
07-2018,166.57
08-2018,166.21
09-2018,163.05
10-2018,167.21
11-2018,166.31
12-2018,159.08
13-2018,161.31
14-2018,159.89
15-2018,162.6
16-2018,162.22
17-2018,161.83
18-2018,160.61
19-2018,163.8
20-2018,161.61
21-2018,161.03
22-2018,159.37
23-2018,159.95
24-2018,158.79
25-2018,156.36
26-2018,154.38
27-2018,155.76
28-2018,156.72
29-2018,156.78
30-2018,157.67
31-2018,158.27
32-2018,155.36
33-2018,155.73
34-2018,157.33
35-2018,158.73
36-2018,155.29
37-2018,156.73
38-2018,159.73
39-2018,157.26
40-2018,155.8
41-2018,149.57
42-2018,148.99
43-2018,142.36
44-2018,146.62
45-2018,148.33
46-2018,146.6
47-2018,143.5
48-2018,146.9
49-2018,142.1
50-2018,140.09
51-2018,134.31
52-2018,136.29
53-2018,137.2
01-2019,139.3
02-2019,141.91
03-2019,145.63
04-2019,145.58
05-2019,149.33
06-2019,147.67
07-2019,151.47
08-2019,154.43
09-2019,154.22
10-2019,151.88
11-2019,155.66
12-2019,152.53
13-2019,155.98
14-2019,157.46
15-2019,158.2
16-2019,159.5
17-2019,158.55
18-2019,157.54
19-2019,150.71
20-2019,152.08
21-2019,151.05
22-2019,148.94
23-2019,155.6
24-2019,154.69
25-2019,158.28
26-2019,159.43
27-2019,159.32
28-2019,161.35
29-2019,160.99
30-2019,162.93
31-2019,154.01
32-2019,154.37
33-2019,153.82
34-2019,151.19
35-2019,153.79
36-2019,158.12
37-2019,159
38-2019,159.61
39-2019,158.46
