week_year,S&P500 ESG
40-2012,124.5821
41-2012,121.7613
42-2012,122.4358
43-2012,120.5972
44-2012,120.6595
45-2012,117.4527
46-2012,115.7843
47-2012,119.8578
48-2012,120.518
49-2012,120.5092
50-2012,119.9534
51-2012,121.3189
52-2012,119.0953
53-2012,121.0933
01-2013,124.0408
02-2013,124.6436
03-2013,125.6117
04-2013,126.6011
05-2013,126.411
06-2013,128.2917
07-2013,128.4225
08-2013,125.7669
09-2013,128.7614
10-2013,131.4816
11-2013,131.0173
12-2013,131.2669
13-2013,132.0228
14-2013,132.2287
15-2013,131.5498
16-2013,132.7685
17-2013,135.1432
18-2013,136.8761
19-2013,138.0117
20-2013,140.6365
21-2013,139.4677
22-2013,138.8146
23-2013,138.9017
24-2013,138.6485
25-2013,133.0465
26-2013,136.4218
27-2013,138.4657
28-2013,141.9144
29-2013,143.0471
30-2013,142.4205
31-2013,143.9584
32-2013,142.5526
33-2013,139.0492
34-2013,139.7443
35-2013,137.7577
36-2013,140.7202
37-2013,142.7381
38-2013,143.2501
39-2013,141.3604
40-2013,140.8247
41-2013,143.7065
42-2013,146.2046
43-2013,147.609
44-2013,148.14
45-2013,148.7539
46-2013,150.3158
47-2013,151.2288
48-2013,151.0871
49-2013,151.5275
50-2013,149.5097
51-2013,152.7693
52-2013,154.012
53-2013,154.5671
01-2014,153.6985
02-2014,153.5687
03-2014,153.6713
04-2014,149.3696
05-2014,145.9982
06-2014,151.3544
07-2014,152.783
08-2014,152.9633
09-2014,155.3081
10-2014,155.0336
11-2014,155.6017
12-2014,155.843
13-2014,157.5432
14-2014,155.0385
15-2014,154.4037
16-2014,157.2588
17-2014,157.3605
18-2014,156.2456
19-2014,158.7342
20-2014,156.8354
21-2014,159.8765
22-2014,160.8582
23-2014,163.0933
24-2014,162.1964
25-2014,162.9363
26-2014,165.0084
27-2014,164.4031
28-2014,165.2276
29-2014,166.3286
30-2014,165.2661
31-2014,160.8453
32-2014,162.0557
33-2014,165.987
34-2014,167.5272
35-2014,167.778
36-2014,166.5863
37-2014,167.5394
38-2014,166.2746
39-2014,165.3191
40-2014,162.4023
41-2014,157.5788
42-2014,162.5635
43-2014,166.2731
44-2014,168.5512
45-2014,170.7668
46-2014,171.8725
47-2014,172.9634
48-2014,173.2121
49-2014,172.3465
50-2014,164.9726
51-2014,174.2694
52-2014,174.1141
53-2014,172.2868
01-2015,169.5285
02-2015,168.1733
03-2015,169.8101
04-2015,166.9946
05-2015,170.2492
06-2015,172.4948
07-2015,175.092
08-2015,176.0779
09-2015,174.8508
10-2015,169.8193
11-2015,174.7472
12-2015,171.5949
13-2015,171.4797
14-2015,173.1722
15-2015,175.5279
16-2015,175.5768
17-2015,176.1381
18-2015,173.956
19-2015,175.4766
20-2015,177.7724
21-2015,177.6537
22-2015,176.9856
23-2015,176.413
24-2015,176.0399
25-2015,176.6393
26-2015,174.0394
27-2015,171.2192
28-2015,175.9995
29-2015,175.9058
30-2015,175.4287
31-2015,174.4116
32-2015,172.9233
33-2015,172.3046
34-2015,160.6662
35-2015,161.3746
36-2015,160.7293
37-2015,165.3823
38-2015,160.8845
39-2015,159.5853
40-2015,165.8251
41-2015,165.5874
42-2015,167.8319
43-2015,173.7253
44-2015,174.6975
45-2015,172.4682
46-2015,172.9117
47-2015,173.2137
48-2015,172.3399
49-2015,169.8807
50-2015,172.0226
51-2015,171.1055
52-2015,170.9258
53-2015,169.2823
01-2016,160.7197
02-2016,159.3691
03-2016,154.7363
04-2016,156.9207
05-2016,158.8288
06-2016,151.788
07-2016,159.2571
08-2016,161.9536
09-2016,165.5214
10-2016,165.0952
11-2016,169.4953
12-2016,169.1989
13-2016,171.2938
14-2016,169.5708
15-2016,173.3956
16-2016,174.2092
17-2016,172.9035
18-2016,170.7388
19-2016,171.9696
20-2016,169.9811
21-2016,174.0829
22-2016,175.1627
23-2016,175.8399
24-2016,172.9352
25-2016,175.844
26-2016,175.0142
27-2016,174.9946
28-2016,180.394
29-2016,180.7448
30-2016,181.1371
31-2016,180.493
32-2016,182.1297
33-2016,182.1252
34-2016,180.8765
35-2016,180.7269
36-2016,181.3399
37-2016,178.6645
38-2016,181.0396
39-2016,179.0449
40-2016,179.9398
41-2016,177.6998
42-2016,178.0238
43-2016,177.1324
44-2016,173.2932
45-2016,179.9574
46-2016,181.6661
47-2016,183.0982
48-2016,182.0154
49-2016,186.6231
50-2016,188.0578
51-2016,187.857
52-2016,186.9302
53-2016,186.068
01-2017,189.004
02-2017,188.8305
03-2017,188.4173
04-2017,190.0729
05-2017,190.4506
06-2017,191.8937
07-2017,194.8155
